sales_price;area;bedrooms;bathrooms;garage;tax;zip_code;latitude;longitude;subway;botafogo_beach;rio_sul;leme_beach;copacabana_beach;santa_marta
965800.000000;75.000000;2;2;1;0.000000;22281080;-22.958378;-43.194540;861.720908;467.416445;1780.270122;2512.353529;1895.332219;1081.186114
1340000.000000;101.000000;3;2;1;0.000000;22290030;-22.952276;-43.182479;625.862460;1210.869181;760.810963;1778.168767;2344.313587;1218.587096
1714400.000000;113.000000;3;2;1;0.000000;22270000;-22.950729;-43.181721;740.906975;1326.671323;845.629283;1861.403588;2525.304065;1249.742048
1597700.000000;100.000000;3;3;2;0.000000;22290070;-22.955933;-43.177895;1140.780587;1672.601765;147.358696;1163.879957;2066.021221;1810.090189
989001.000000;68.000000;2;1;1;0.000000;22281034;-22.952717;-43.193632;520.964467;171.477452;1750.785487;2658.667724;2428.189773;448.579068
1600000.000000;180.000000;3;3;1;1800.000000;22250040;-22.948636;-43.182283;800.111013;1360.434751;1074.931688;2084.218490;2748.513849;1171.362830
1590000.000000;151.000000;3;3;1;1670.000000;22281080;-22.958378;-43.194540;861.720908;467.416445;1780.270122;2512.353529;1895.332219;1081.186114
800000.000000;87.000000;2;1;1;1000.000000;22251040;-22.943846;-43.184099;1108.546748;1541.535238;1633.742986;2632.972799;3265.358286;1122.672907
1200000.000000;100.000000;3;1;2;1150.000000;22280080;-22.956673;-43.184553;583.267096;1017.658919;753.565785;1632.829422;1838.441297;1292.528988
1890000.000000;156.000000;2;1;1;1750.000000;22281033;-22.953220;-43.193027;459.529341;155.681335;1676.115900;2577.636002;2354.567959;509.358343
899000.000000;77.000000;2;2;1;1600.000000;22280020;-22.953393;-43.188474;51.504289;584.968190;1224.875517;2166.582916;2223.976093;750.341118
1080000.000000;93.000000;2;1;1;1560.000000;22281080;-22.958378;-43.194540;861.720908;467.416445;1780.270122;2512.353529;1895.332219;1081.186114
550000.000000;75.000000;2;2;0;400.000000;22271110;-22.953612;-43.189630;133.851455;464.260947;1329.665330;2253.643326;2219.991872;689.842217
1980000.000000;110.000000;4;1;2;2323.000000;22280020;-22.953393;-43.188474;51.504289;584.968190;1224.875517;2166.582916;2223.976093;750.341118
745000.000000;84.000000;2;1;1;750.000000;22290031;-22.953559;-43.181547;720.342779;1289.321955;593.512471;1608.570046;2217.719271;1359.461013
1319000.000000;97.000000;2;2;1;0.000000;22281034;-22.952717;-43.193632;520.964467;171.477452;1750.785487;2658.667724;2428.189773;448.579068
1529000.000000;113.000000;3;2;1;0.000000;22270010;-22.953634;-43.190684;231.978403;357.278460;1432.593657;2345.406556;2241.325904;632.230720
2850000.000000;392.000000;5;5;2;0.000000;22290240;-22.950660;-43.178046;1104.829458;1692.113780;720.962363;1669.767306;2615.109245;1620.206838
1800000.000000;233.000000;3;5;2;1.000000;22260009;-22.951909;-43.195145;684.888309;274.732965;1925.084825;2837.707152;2568.906198;387.029476
